step,action,upstream_demand,downstream_demand,upstream_flow,downstream_flow,upstream_speed,downstream_speed,upstream_density,downstream_density
1,1,9821.36816413161,5178.631835868389,0.0001666666666666667,2.777777777777778e-05,0.9380919699853705,0.8266846478347085,0.017857142857142856,0.0035714285714285713
2,1,11914.751578081801,3085.248421918199,8.333333333333334e-05,0.0,0.9158754196142912,0.8916597830220243,0.03571428571428571,0.0035714285714285713
3,1,13574.556186569856,1425.4438134301436,0.00030555555555555555,8.333333333333333e-05,0.9383906964577793,0.8919472053370593,0.05714285714285714,0.010714285714285714
4,1,14637.770303270845,362.22969672915497,0.00025,5.555555555555556e-05,0.8929780143570142,0.9103132688000349,0.075,0.017857142857142856
5,1,14999.974212031673,0.02578796832676744,0.00044444444444444447,5.555555555555556e-05,0.8920262551351822,0.9393295135975857,0.1,0.017857142857142856
6,1,14625.595370362316,374.4046296376837,0.0006111111111111111,0.00011111111111111112,0.8613935098420707,0.9580163313880438,0.12142857142857143,0.014285714285714285
7,1,13551.40203760656,1448.59796239344,0.0005277777777777778,2.777777777777778e-05,0.8172661688344393,0.9678087988854801,0.14642857142857144,0.014285714285714285
8,1,11882.892213779614,3117.1077862203856,0.0005,8.333333333333333e-05,0.7703503643543804,0.9734761660264327,0.16071428571428573,0.014285714285714285
9,1,9783.932536340399,5216.067463659601,0.0003888888888888889,5.555555555555556e-05,0.7650045463099598,0.9789413977396376,0.16785714285714284,0.017857142857142856
10,1,7460.664713052387,7539.335286947613,0.0007777777777777778,0.00022222222222222223,0.7356949856411085,0.9101581969137242,0.15357142857142858,0.03214285714285714
11,1,5141.260062227337,9858.739937772663,0.0006111111111111111,0.00030555555555555555,0.7593849515141897,0.8723699023964921,0.16071428571428573,0.06428571428571428
12,1,3053.510494712694,11946.489505287307,0.00044444444444444447,0.0003611111111111111,0.7765157568996891,0.8658265767319234,0.16428571428571428,0.08214285714285714
13,1,1402.4567580062837,13597.543241993717,0.00047222222222222224,0.00041666666666666664,0.8121158036453897,0.8338882363776305,0.15714285714285714,0.08571428571428572
14,1,350.25110331721896,14649.74889668278,0.0006944444444444445,0.0005277777777777778,0.848100444275756,0.8260200971416215,0.1392857142857143,0.12142857142857143
15,1,0.23209065091039927,14999.76790934909,0.0003333333333333334,0.00047222222222222224,0.8662947003552698,0.8310330383325797,0.12142857142857143,0.15714285714285714
16,1,386.77556714547393,14613.224432854526,0.00047222222222222224,0.0007222222222222223,0.8666517009849987,0.8232592444073432,0.1,0.18214285714285713
17,1,1471.918567992249,13528.081432007752,0.00044444444444444447,0.0007777777777777778,0.8976244491197654,0.8518777814600069,0.07857142857142857,0.18571428571428572
18,1,3149.0877112599333,11850.912288740066,0.00022222222222222223,0.0005277777777777778,0.9269317997687919,0.8698650722921567,0.06785714285714285,0.18571428571428572
19,1,5253.565915854709,9746.43408414529,0.00041666666666666664,0.0008333333333333333,0.9466952032184958,0.8944619109960438,0.07142857142857142,0.16428571428571428
