step,action,upstream_demand,downstream_demand,upstream_flow,downstream_flow,upstream_speed,downstream_speed,upstream_density,downstream_density
1,1,7971.2426445655465,7028.7573554344535,720.0,0.0,0.0,0.0,0.0,0.0
2,1,8440.623028333213,6559.376971666787,2880.0,1440.0,0.92928107054993,0.0,0.010714285714285714,0.0
3,0,8906.286249803605,6093.713750196395,0.0,1440.0,0.8581189860432679,0.9390937199789535,0.014285714285714285,0.014285714285714285
4,1,9366.392096991747,5633.607903008253,2160.0,1440.0,0.9092390311458923,0.8533954689028753,0.022857142857142857,0.02857142857142857
5,1,9819.122319592892,5180.877680407108,720.0,1440.0,0.9158319574430637,0.8751402928063855,0.03428571428571429,0.02857142857142857
6,1,10262.687814359935,4737.312185640065,7920.0,1440.0,0.8976591829719053,0.8916689211860206,0.045714285714285714,0.05238095238095238
7,0,10695.335695297257,4304.664304702743,7200.0,2880.0,0.8619016270951088,0.8667249383531868,0.05952380952380952,0.07857142857142857
8,1,11115.356220730913,3884.6437792690867,5040.0,2880.0,0.8226614399105783,0.8782048344345903,0.06904761904761905,0.08571428571428572
9,1,11521.089549880699,3478.9104501193015,2880.0,720.0,0.8055170744722154,0.8403102804694624,0.08333333333333333,0.08571428571428572
10,1,11910.93230223345,3089.06769776655,5760.0,2160.0,0.8111333921774296,0.8471872210198046,0.09047619047619047,0.1
11,0,12283.34389379615,2716.656106203851,10080.0,2880.0,0.831003572690667,0.839703702390549,0.09183673469387756,0.2
12,2,12636.852625189213,2363.1473748107874,12960.0,2160.0,0.8232427612822322,0.837642741633409,0.11666666666666667,0.11428571428571428
13,0,12970.06149752093,2029.93850247907,8640.0,3600.0,0.8380718543932152,0.8353610690688308,0.1,0.2
14,1,13281.653733059906,1718.3462669400942,5760.0,2160.0,0.8533014016982051,0.8425060133359631,0.09795918367346938,0.18571428571428572
15,1,13570.397978888785,1429.6020211112154,5760.0,2160.0,0.8709423327076807,0.8631767619250011,0.09591836734693877,0.2
16,1,13835.153172975466,1164.846827024534,9360.0,2880.0,0.8874162143764981,0.8736709499241325,0.09795918367346938,0.18571428571428572
17,1,14074.87305343201,925.1269465679907,12240.0,2880.0,0.8959251515305816,0.8844399311197817,0.11020408163265306,0.17142857142857143
18,1,14288.610293141488,711.389706858512,10800.0,1440.0,0.8937870622397012,0.8986720830598405,0.12653061224489795,0.17142857142857143
19,1,14475.520243413579,524.479756586421,8640.0,1440.0,0.9046552276139593,0.9101874515991942,0.1306122448979592,0.17142857142857143
20,1,14634.864271874625,365.13572812537495,10800.0,2160.0,0.9069930664369206,0.9199378817471223,0.13877551020408163,0.17142857142857143
21,1,14766.01268140149,233.98731859851068,12960.0,2880.0,0.9094465630400507,0.9283087581458136,0.1346938775510204,0.15714285714285714
22,1,14868.447198564167,131.55280143583332,13680.0,2160.0,0.9060820321826938,0.9276555504451136,0.13673469387755102,0.12857142857142856
23,1,14941.76302174323,58.23697825676936,14400.0,1440.0,0.9000468307291887,0.9315884900734898,0.14285714285714285,0.11428571428571428
24,1,14985.670420828417,14.329579171582736,10080.0,2160.0,0.8740905193142419,0.9354632462687029,0.13877551020408163,0.08571428571428572
25,1,14999.995882176609,0.0041178233914251905,11520.0,720.0,0.8545197005569412,0.9414024809031131,0.1510204081632653,0.07142857142857142
26,1,14984.682794304548,15.317205695451776,10800.0,2160.0,0.8339335693921922,0.9436224910302561,0.1489795918367347,0.04285714285714286
27,1,14939.79167160661,60.20832839338982,19440.0,0.0,0.8183394413319165,0.9566354124040152,0.15306122448979592,0.02857142857142857
28,1,14865.499915213484,134.5000847865158,14400.0,720.0,0.8171958875147369,0.9666484248040129,0.15306122448979592,0.02857142857142857
29,1,14762.101111936825,237.89888806317504,9360.0,0.0,0.8320438497102878,0.9749383036010322,0.1510204081632653,0.014285714285714285
30,1,14630.003874070346,369.9961259296542,14400.0,720.0,0.8436570596651809,0.9810820974628988,0.1489795918367347,0.014285714285714285
31,1,14469.730224632174,530.2697753678258,14400.0,0.0,0.8592077464753785,0.0,0.1489795918367347,0.0
32,1,14281.913534429736,718.0864655702644,14400.0,0.0,0.8718716642719216,0.0,0.14489795918367346,0.0
33,1,14067.296019099464,932.7039809005364,15840.0,0.0,0.8838217227247912,0.0,0.1489795918367347,0.0
34,1,13826.725806012571,1173.2741939874286,8640.0,720.0,0.896690741253613,0.0,0.1489795918367347,0.0
35,1,13561.153582637897,1438.8464173621032,15840.0,0.0,0.9022120176974562,0.8214831307784203,0.1489795918367347,0.014285714285714285
36,1,13271.62883960685,1728.3711603931497,13680.0,0.0,0.8993093603068032,0.8577836922215386,0.14285714285714285,0.014285714285714285
37,1,12959.2957233272,2040.704276672799,13680.0,720.0,0.9071454015551298,0.8880540900141921,0.13877551020408163,0.014285714285714285
38,1,12625.388514535276,2374.611485464724,11520.0,0.0,0.9076656263796926,0.8755022507103092,0.13877551020408163,0.02857142857142857
