step,action,upstream_demand,downstream_demand,upstream_flow,downstream_flow,upstream_speed,downstream_speed,upstream_density,downstream_density
1,1,7971.2426445655465,7028.7573554344535,0.0,2160.0,0.9989989574009948,0.9995996440124315,0.0035714285714285713,0.0035714285714285713
2,1,8440.623028333213,6559.376971666787,720.0,720.0,0.9942192427642937,0.8787591058162768,0.0035714285714285713,0.010714285714285714
3,1,8906.286249803605,6093.713750196395,2160.0,720.0,0.9783834684867381,0.9182114576646093,0.014285714285714285,0.02142857142857143
4,1,9366.392096991747,5633.607903008253,1440.0,720.0,0.9370339889375168,0.9319187689069821,0.025,0.02142857142857143
5,1,9819.122319592892,5180.877680407108,1440.0,720.0,0.9396301223158351,0.9433555800323429,0.025,0.02142857142857143
6,1,10262.687814359935,4737.312185640065,2160.0,1440.0,0.932313152910519,0.9523701819421717,0.02857142857142857,0.02142857142857143
7,1,10695.335695297257,4304.664304702743,2160.0,2880.0,0.9293833420346347,0.9551939823983377,0.03571428571428571,0.02857142857142857
8,1,11115.356220730913,3884.6437792690867,5040.0,2880.0,0.9166820671966477,0.9348506634517587,0.05714285714285714,0.03214285714285714
9,1,11521.089549880699,3478.9104501193015,2880.0,0.0,0.9214502702213084,0.9407991314010437,0.05714285714285714,0.03571428571428571
10,1,11910.93230223345,3089.06769776655,3600.0,2160.0,0.9184746917289689,0.9476944972526639,0.07142857142857142,0.03571428571428571
11,1,12283.34389379615,2716.656106203851,5040.0,2880.0,0.9268532637135404,0.9556083281643716,0.08571428571428572,0.039285714285714285
12,1,12636.852625189213,2363.1473748107874,8640.0,5040.0,0.9195755808144785,0.9592486795514461,0.1,0.039285714285714285
13,1,12970.06149752093,2029.93850247907,6480.0,720.0,0.9155584900732221,0.9601427640725979,0.11071428571428571,0.039285714285714285
14,1,13281.653733059906,1718.3462669400942,4320.0,2880.0,0.8991535930826793,0.962789359179968,0.12857142857142856,0.04285714285714286
15,1,13570.397978888785,1429.6020211112154,6480.0,1440.0,0.9089887423539258,0.9454311414788755,0.13214285714285715,0.04642857142857143
16,1,13835.153172975466,1164.846827024534,5760.0,2160.0,0.9035140824438198,0.934417564362469,0.14285714285714285,0.05
17,1,14074.87305343201,925.1269465679907,8640.0,3600.0,0.9116462797645917,0.9393644561520196,0.14285714285714285,0.05
18,1,14288.610293141488,711.389706858512,7920.0,1440.0,0.9144386084541596,0.9432713600518032,0.14285714285714285,0.05
19,1,14475.520243413579,524.479756586421,8640.0,3600.0,0.9166298161289183,0.9430660811088063,0.14642857142857144,0.04642857142857143
20,1,14634.864271874625,365.13572812537495,8640.0,0.0,0.9136182246039201,0.941230438498734,0.15357142857142858,0.04285714285714286
21,1,14766.01268140149,233.98731859851068,8640.0,2880.0,0.8970493081622322,0.9450680557766533,0.17142857142857143,0.039285714285714285
22,1,14868.447198564167,131.55280143583332,10800.0,2880.0,0.881285162870785,0.9516702511518406,0.175,0.03571428571428571
23,1,14941.76302174323,58.23697825676936,9360.0,720.0,0.8729355050130342,0.9569283501057074,0.17857142857142858,0.03571428571428571
24,1,14985.670420828417,14.329579171582736,10080.0,2160.0,0.87873046585903,0.9611821596930942,0.18214285714285713,0.03571428571428571
25,1,14999.995882176609,0.0041178233914251905,10800.0,2880.0,0.8826127302848239,0.9645086350872245,0.19285714285714287,0.03571428571428571
26,1,14984.682794304548,15.317205695451776,12240.0,1440.0,0.8691391242554924,0.9624920996450785,0.19285714285714287,0.02857142857142857
27,1,14939.79167160661,60.20832839338982,10800.0,720.0,0.860733363480214,0.9584858563091286,0.21785714285714286,0.025
28,1,14865.499915213484,134.5000847865158,10080.0,2160.0,0.8651445311665944,0.9618775607163945,0.23214285714285715,0.02142857142857143
29,1,14762.101111936825,237.89888806317504,15120.0,720.0,0.8665324177870356,0.9648278885235111,0.2357142857142857,0.02142857142857143
30,1,14630.003874070346,369.9961259296542,10800.0,1440.0,0.8698904048434742,0.9669890923501216,0.23214285714285715,0.014285714285714285
31,1,14469.730224632174,530.2697753678258,12240.0,720.0,0.8669514741794841,0.9863825401184431,0.23214285714285715,0.010714285714285714
32,1,14281.913534429736,718.0864655702644,13680.0,1440.0,0.8663083553385641,0.983830917063173,0.23214285714285715,0.007142857142857143
33,1,14067.296019099464,932.7039809005364,10800.0,720.0,0.8729020585388908,0.9834729214447424,0.2357142857142857,0.0035714285714285713
34,1,13826.725806012571,1173.2741939874286,15120.0,0.0,0.8555653138569044,0.0,0.24285714285714285,0.0
35,1,13561.153582637897,1438.8464173621032,9360.0,720.0,0.8551966356498122,0.9997147513853519,0.24285714285714285,0.0035714285714285713
36,1,13271.62883960685,1728.3711603931497,15120.0,0.0,0.8583540975052689,0.9997685854991631,0.2357142857142857,0.0035714285714285713
37,1,12959.2957233272,2040.704276672799,11520.0,720.0,0.8535629236426401,0.9977764613653357,0.25357142857142856,0.007142857142857143
38,1,12625.388514535276,2374.611485464724,14400.0,0.0,0.8495191849122699,0.9954524903047849,0.2642857142857143,0.007142857142857143
39,1,12271.226750654603,2728.773249345397,12960.0,720.0,0.8555738511962161,0.9932987967352838,0.2571428571428571,0.007142857142857143
40,1,11898.210011236366,3101.789988763634,11520.0,2880.0,0.8598884861842276,0.9817360096700414,0.26071428571428573,0.017857142857142856
41,1,11507.812387088738,3492.1876129112625,13680.0,2160.0,0.8517200002802425,0.9290595766772097,0.26071428571428573,0.02857142857142857
42,1,11101.576654951941,3898.4233450480588,10800.0,0.0,0.8549461329267676,0.9348099847964937,0.24642857142857144,0.02857142857142857
