step,action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward,episode
1,0,8440.155118516728,6559.844881483272,4,11,1,0,0,5.0,87.18797946593385,1980.0,4,7,1,2,0,2.5,98.16979793426046,1440.0,-0.0915141437795728,-0.0915141437795728,0
2,0,9365.478492197151,5634.521507802849,4,9,2,0,0,9.5,89.10617464600458,3600.0,4,6,0,0,0,7.0,92.67687763470985,1800.0,-0.09378981661817434,-0.18530396039774716,0
3,0,10261.372359566392,4738.627640433608,4,10,1,1,0,12.5,87.5391963445147,3960.0,4,7,0,1,0,10.5,92.91237728643561,3240.0,-0.10007829747217059,-0.2853822578699178,0
4,0,11113.703234586324,3886.2967654136755,4,9,0,0,0,16.5,87.85276079738476,5400.0,4,4,0,1,0,11.5,92.10866556149352,3960.0,-0.10399278317356292,-0.3893750410434807,0
5,0,11909.024874391896,3090.9751256081036,4,13,1,0,0,20.0,88.61791101795151,7200.0,4,7,0,0,0,15.0,91.86635568739102,4860.0,-0.09989898409431547,-0.48927402513779616,0
6,0,12634.790405183177,2365.2095948168226,4,10,1,0,0,22.0,88.98636288123959,8460.0,4,2,0,0,0,12.0,93.03299267699028,5400.0,-0.09585414837907223,-0.5851281735168684,0
7,0,13279.550259807183,1720.4497401928165,4,12,5,0,0,21.5,85.90337551530564,8460.0,4,4,0,0,0,11.0,92.60234734706263,4140.0,-0.1182928017240738,-0.7034209752409422,0
8,0,13833.132804396133,1166.867195603867,4,15,3,2,0,26.0,78.37678619199383,7920.0,4,0,0,0,0,7.5,93.05284530931586,3060.0,-0.18337528930993785,-0.88679626455088,0
9,0,14286.804804523636,713.1951954763645,4,13,0,0,0,32.0,76.90998256264719,9900.0,4,2,0,0,0,7.0,92.20357944522334,2520.0,-0.20345012868685303,-1.090246393237733,0
10,0,14633.409199389042,366.59080061095847,4,15,1,2,0,33.5,77.00947103908558,10980.0,4,0,0,0,0,4.0,92.84341587770778,2340.0,-0.21301574844794716,-1.3032621416856802,0
11,0,14867.478010525252,132.5219894747479,4,14,0,2,0,34.5,77.69690652393946,11160.0,4,0,0,0,0,2.5,94.65034848974821,1440.0,-0.21157590640532917,-1.5148380480910093,0
12,0,14985.318603799307,14.681396200692689,4,16,4,1,0,34.5,77.38973035858507,11520.0,4,0,0,0,0,0.5,95.9864843063653,720.0,-0.22344601727875216,-1.7382840653697615,0
13,0,14985.071943849516,14.928056150483826,4,13,2,2,0,36.0,64.31960447019816,11160.0,4,0,0,0,0,0.0,100.0,180.0,-0.35680395529801845,-2.09508802066778,0
14,0,14866.74192194591,133.25807805409022,4,16,1,2,0,39.0,61.35213063421468,11340.0,4,0,0,0,0,0.0,100.0,0.0,-0.3864786936578532,-2.4815667143256332,0
15,0,14632.195294602152,367.804705397848,4,12,0,1,0,44.0,62.733978321771,10620.0,4,0,0,0,0,0.0,100.0,0.0,-0.37266021678229,-2.8542269311079234,0
16,0,14285.132233907363,714.8677660926369,4,12,1,2,0,44.0,64.37230520028459,11880.0,4,0,0,0,0,0.0,100.0,0.0,-0.35627694799715415,-3.2105038791050777,0
17,0,13831.027954171343,1168.9720458286574,4,14,4,2,0,45.0,65.00379747389451,12960.0,4,0,0,0,0,0.0,100.0,0.0,-0.3499620252610549,-3.560465904366133,0
18,0,13277.046335772406,1722.9536642275943,4,13,0,1,0,47.5,64.26788784505673,12600.0,4,0,0,0,0,0.0,100.0,0.0,-0.3573211215494327,-3.9177870259155654,0
19,0,12631.92690886496,2368.07309113504,4,8,1,0,0,44.5,64.90145333637982,10980.0,4,2,1,0,0,0.5,99.96670896287429,180.0,-0.3470893271221469,-4.264876353037712,0
20,0,11905.846979874697,3094.1530201253026,4,11,1,1,1,42.5,66.65508997144615,12780.0,4,2,0,0,0,2.0,92.70633362042437,540.0,-0.32174067617363816,-4.58661702921135,0
21,0,11110.261075853006,3889.7389241469937,4,14,2,0,0,40.0,67.36714513338765,11880.0,4,4,0,1,0,4.0,96.4780481476777,1620.0,-0.29986409138040526,-4.886481120591755,0
22,0,10257.720239592083,4742.279760407917,4,11,1,1,0,39.5,67.98389337824659,11880.0,4,11,0,0,0,10.0,92.6637787164605,3240.0,-0.27030271199892014,-5.156783832590675,0
23,0,9361.674026273733,5638.325973726267,4,6,0,1,0,35.5,69.20297493271902,9720.0,4,10,0,1,0,14.5,92.97147332006242,4500.0,-0.23904160534951402,-5.395825437940189,0
24,0,8436.258325322722,6563.741674677278,4,10,2,1,0,34.5,72.88263838235903,10080.0,4,5,0,0,0,14.0,92.00933510123059,5580.0,-0.21596253286420308,-5.611787970804392,0
25,0,7496.072354754966,7503.927645245034,4,6,1,0,0,32.0,76.04273283198025,10080.0,4,7,0,1,0,16.0,91.86751820666879,5040.0,-0.18682338709790244,-5.798611357902295,0
26,0,6555.948346124064,8444.051653875937,4,6,0,0,0,29.5,80.06607964079036,9720.0,4,7,0,1,0,16.0,92.66756535251918,5760.0,-0.15502628680359948,-5.9536376447058945,0
27,0,5630.71755348146,9369.28244651854,4,9,0,0,0,27.5,83.42735331044969,9900.0,4,11,2,0,0,19.0,91.29315581815946,6660.0,-0.13358662869195784,-6.087224273397853,0
28,0,4734.9762777576025,10265.023722242397,4,5,0,0,0,24.0,86.22273110239735,9540.0,4,13,2,1,0,20.5,89.12957728759626,8100.0,-0.1243815998082563,-6.211605873206109,0
29,0,3882.855597727913,11117.144402272086,4,7,0,0,0,19.0,88.11306222739569,6840.0,4,11,1,0,0,24.0,89.04786876212488,8820.0,-0.113651852881043,-6.325257726087152,0
30,0,3087.798440253101,11912.2015597469,4,3,0,0,0,16.0,90.26706146745306,6120.0,4,8,1,1,0,25.0,87.12241433989708,9540.0,-0.11650406293251805,-6.44176178901967,0
31,0,2362.347506699875,12637.652493300126,4,1,1,0,0,12.0,91.95166360602904,5760.0,4,8,2,4,0,23.5,79.96010558272744,8280.0,-0.15986410015029762,-6.601625889169967,0
32,0,1717.9474011828156,13282.052598817185,4,2,0,0,0,9.0,90.28922626230604,4140.0,4,12,0,1,0,29.5,77.01015745922521,8460.0,-0.19885644638755892,-6.800482335557526,0
33,0,1164.7640822222515,13835.235917777749,4,3,0,1,0,7.5,91.20979648064962,3420.0,4,15,1,2,0,30.0,78.15509299392296,11160.0,-0.1923396630873171,-6.992821998644843,0
34,0,711.5244861214928,14288.475513878508,4,0,0,0,0,3.5,91.51936747101286,2700.0,4,23,3,0,2,37.5,75.6613066955408,12420.0,-0.22984956408992077,-7.222671562734765,0
35,0,365.37885214070866,14634.621147859292,4,0,0,0,0,2.0,94.31033769159033,1260.0,4,12,1,1,0,42.0,71.43489749643302,12780.0,-0.2752530976742345,-7.497924660408999,0
36,0,131.78792140473433,14868.212078595265,4,1,0,0,0,1.5,90.35767305626722,900.0,4,17,4,2,0,45.0,68.04337064680398,12960.0,-0.31236813146439135,-7.81029279187339,0
37,0,14.436789077668655,14985.563210922332,4,0,0,0,0,1.0,90.29794351415333,360.0,4,14,4,3,0,47.5,62.75743817985368,14400.0,-0.3667471634933602,-8.17703995536675,0
38,0,15.17676885939595,14984.823231140605,4,0,0,0,0,0.5,92.52895074475822,180.0,4,10,1,2,0,50.0,57.118180111554786,12240.0,-0.4253121819900756,-8.602352137356826,0
39,0,133.99618694089176,14866.003813059107,4,0,0,0,0,0.0,100.0,180.0,4,10,1,1,6,48.5,51.52303577569,11880.0,-0.48476964224310004,-9.087121779599926,0
40,0,369.02056616846926,14630.979433831531,4,0,0,0,0,0.0,100.0,0.0,4,10,2,2,9,47.5,45.23908512907934,10440.0,-0.5476091487092066,-9.634730928309132,0
41,0,716.5421975116076,14283.457802488392,4,0,0,0,0,0.0,100.0,0.0,4,1,0,0,15,45.0,45.92720048023797,8280.0,-0.5407279951976203,-10.175458923506753,0
42,0,1171.0786323193734,13828.921367680627,4,1,0,0,0,0.5,99.99650145167264,180.0,4,3,2,1,27,41.0,48.11951668765996,9180.0,-0.5125545939952062,-10.68801351750196,0
43,0,1725.4591726004587,13274.540827399542,4,2,0,0,0,1.5,99.89154794459712,540.0,4,5,2,4,41,35.0,47.63963671851847,9000.0,-0.5021302446397145,-11.190143762141673,0
44,0,2370.93799486923,12629.06200513077,4,5,1,1,0,3.0,94.66290224433622,1440.0,4,5,2,1,46,33.5,43.59106270468891,6480.0,-0.5221125185369624,-11.712256280678636,0
45,0,3097.33212293317,11902.66787706683,4,5,1,0,0,6.0,93.20039305142257,1800.0,4,5,4,1,58,32.0,44.13480332781336,7200.0,-0.48117998294774655,-12.193436263626383,0
46,0,3893.1820729838723,11106.817927016127,4,5,0,0,0,8.5,94.74147480416046,2700.0,4,7,4,1,68,33.5,45.61770375628082,7380.0,-0.4444058067450545,-12.637842070371438,0
47,0,4745.932636678949,10254.06736332105,4,7,0,1,0,10.0,94.7983999384899,4320.0,4,4,1,1,75,33.5,49.675926538442155,6120.0,-0.39951091070742273,-13.037352981078861,0
48,0,5642.130950208347,9357.869049791654,4,4,0,1,0,10.5,94.86700834258079,3420.0,4,4,0,2,80,35.0,50.82135387863321,7740.0,-0.39014264321994263,-13.427495624298803,0
49,0,6567.638724637396,8432.361275362604,4,7,1,0,0,12.0,93.55140934088804,4500.0,4,3,2,0,80,32.0,44.12899531013409,7740.0,-0.4239216449966029,-13.851417269295407,0
50,0,7507.855289412921,7492.144710587079,4,11,0,1,0,16.0,91.36236513238227,6480.0,4,2,1,0,82,30.0,41.80692594880658,6660.0,-0.4095639955255839,-14.260981264820991,0
51,0,8447.947930331735,6552.052069668265,4,8,0,0,0,17.5,91.13112114170015,6480.0,4,2,0,0,82,28.5,44.80828418778036,4500.0,-0.37568897405837115,-14.636670238879363,0
52,0,9373.085888194673,5626.914111805327,4,13,1,1,0,19.0,90.12027190105228,7740.0,4,0,0,0,87,24.0,45.263576701601885,5040.0,-0.34916023093989806,-14.98583046981926,0
53,0,10268.674326618722,4731.325673381278,4,10,0,1,0,21.5,88.94303556241357,7200.0,4,0,0,0,86,21.5,43.44461352665006,5040.0,-0.3380617545546819,-15.323892224373942,0
