step,action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward,episode
1,2,8440.155118516728,6559.844881483272,3,9,3,0,0,5.333333333333333,80.30826483773942,1980.0,5,10,1,1,0,3.6,96.43209487950276,1980.0,-0.11155589846032939,-0.11155589846032939,0
2,2,9365.478492197151,5634.521507802849,2,7,0,1,0,17.0,64.87523593023714,1980.0,6,6,0,0,0,5.666666666666667,93.60003851603359,2340.0,-0.20762362776864635,-0.3191795262289757,0
3,2,10261.372359566392,4738.627640433608,1,8,2,2,0,28.0,51.62832079482855,3060.0,7,8,1,1,0,6.571428571428571,95.22761733053233,3600.0,-0.21269413791085312,-0.5318736641398288,0
4,2,11113.703234586324,3886.2967654136755,1,10,4,1,1,56.0,52.98145587116442,3600.0,7,6,0,0,0,8.285714285714286,93.83040791498142,4680.0,-0.2623574396619185,-0.7942311038017473,0
5,2,11909.024874391896,3090.9751256081036,1,10,8,1,1,70.0,41.731938216425995,5040.0,7,6,0,0,0,9.142857142857142,93.74895183662623,5040.0,-0.33424114979896274,-1.1284722536007101,0
6,2,12634.790405183177,2365.2095948168226,1,5,10,2,1,68.0,32.54279918713079,4680.0,7,2,0,0,0,7.428571428571429,94.23178705154982,5760.0,-0.40725306071620965,-1.5357253143169198,0
7,2,13279.550259807183,1720.4497401928165,1,6,12,5,3,80.0,28.7391309899095,3960.0,7,3,1,0,0,6.0,95.48430204844392,4860.0,-0.48283023235840944,-2.018555546675329,0
8,2,13833.132804396133,1166.867195603867,1,4,14,2,11,92.0,29.60563671702771,3960.0,7,4,0,0,0,5.714285714285714,95.21018880400443,3780.0,-0.5051419598388844,-2.5236975065142135,0
9,2,14286.804804523636,713.1951954763645,1,2,13,7,16,94.0,27.600363238343597,5040.0,7,0,0,0,0,3.7142857142857144,95.95553699181394,3240.0,-0.5758934911507115,-3.099590997664925,0
10,2,14633.409199389042,366.59080061095847,1,1,12,3,25,96.0,20.288319663559438,3960.0,7,0,0,0,0,2.2857142857142856,96.95404793764166,2160.0,-0.687594334401431,-3.7871853320663558,0
11,2,14867.478010525252,132.5219894747479,1,2,9,6,35,92.0,9.0614289440649,3240.0,7,0,0,0,0,1.4285714285714286,96.54657365441179,1440.0,-0.8236159608433247,-4.610801292909681,0
12,1,14985.318603799307,14.681396200692689,2,3,8,4,40,53.0,10.500467826128443,1800.0,6,0,0,0,0,0.0,100.0,900.0,-0.8949953217387155,-5.505796614648396,0
13,1,14985.071943849516,14.928056150483826,3,3,9,1,48,37.333333333333336,12.441975201729804,2340.0,5,0,0,0,0,0.0,100.0,0.0,-0.875580247982702,-6.3813768626310985,0
14,1,14866.74192194591,133.25807805409022,4,10,11,5,50,32.0,17.935177720944818,4680.0,4,0,0,0,0,0.0,100.0,0.0,-0.8206482227905518,-7.20202508542165,0
15,1,14632.195294602152,367.804705397848,5,9,12,4,52,30.8,22.690199285749763,5220.0,3,1,1,0,0,0.0,100.0,0.0,-0.7730980071425023,-7.975123092564153,0
16,1,14285.132233907363,714.8677660926369,6,6,11,1,54,29.0,26.167845886960592,5580.0,2,0,0,0,0,1.0,85.78267612916756,180.0,-0.7315471286028705,-8.706670221167023,0
17,1,13831.027954171343,1168.9720458286574,7,14,12,2,53,28.285714285714285,32.40014689754326,7560.0,1,1,0,0,0,4.0,91.92988847583558,360.0,-0.6642104633853017,-9.370880684552326,0
18,1,13277.046335772406,1722.9536642275943,7,7,13,1,55,29.714285714285715,38.59043138878649,7200.0,1,2,0,0,0,10.0,80.89853117282681,900.0,-0.5946883008900983,-9.965568985442424,0
19,1,12631.92690886496,2368.07309113504,7,16,13,2,57,32.285714285714285,43.06342646104248,9720.0,1,3,0,0,0,16.0,85.30413399720757,1080.0,-0.5414379948697965,-10.50700698031222,0
20,1,11905.846979874697,3094.1530201253026,7,8,13,1,58,33.42857142857143,45.980041628079825,10440.0,1,3,1,0,0,16.0,86.56948936569876,1620.0,-0.5142223371671257,-11.021229317479346,0
21,1,11110.261075853006,3889.7389241469937,7,5,13,0,63,31.714285714285715,42.72525308190104,9180.0,1,4,0,1,0,14.0,83.90951460657006,1800.0,-0.5483161275985589,-11.569545445077905,0
22,1,10257.720239592083,4742.279760407917,7,8,12,0,66,31.428571428571427,45.298793592953814,9900.0,1,1,0,0,0,18.0,87.16927702429025,1440.0,-0.5153453118955015,-12.084890756973406,0
23,1,9361.674026273733,5638.325973726267,7,9,12,1,66,30.0,48.63933069420841,11340.0,1,4,0,0,0,18.0,83.99452652020013,1980.0,-0.48569469635318563,-12.570585453326592,0
24,1,8436.258325322722,6563.741674677278,7,6,11,0,68,28.285714285714285,52.25915988861769,10260.0,1,5,0,1,0,22.0,85.00911100940579,1800.0,-0.444658449993035,-13.015243903319627,0
25,1,7496.072354754966,7503.927645245034,7,7,10,0,68,25.714285714285715,53.113717964045556,10440.0,1,6,2,0,0,24.0,83.62437151120832,2700.0,-0.43296793383347065,-13.448211837153098,0
26,1,6555.948346124064,8444.051653875937,7,5,9,0,70,24.0,53.74483912894586,9360.0,1,5,2,1,0,24.0,79.19773174595942,2880.0,-0.43073549293927443,-13.878947330092371,0
27,1,5630.71755348146,9369.28244651854,7,4,9,1,70,20.285714285714285,45.472834966917986,7020.0,1,7,1,1,0,32.0,72.06498707551788,2700.0,-0.49636654300465943,-14.375313873097031,0
28,1,4734.9762777576025,10265.023722242397,7,5,8,0,72,19.142857142857142,46.273455223776416,6660.0,1,8,1,0,0,44.0,66.5860485337284,3060.0,-0.4870545429511185,-14.86236841604815,0
29,1,3882.855597727913,11117.144402272086,7,6,8,1,72,18.857142857142858,53.967039826635045,5760.0,1,8,0,2,1,62.0,56.27450298723085,4320.0,-0.45295523493174544,-15.315323650979897,0
30,1,3087.798440253101,11912.2015597469,7,3,7,0,73,17.428571428571427,58.13863376465769,7740.0,1,12,8,5,0,48.0,30.598075573847854,4140.0,-0.496375238421592,-15.81169888940149,0
31,1,2362.347506699875,12637.652493300126,7,2,6,0,75,14.857142857142858,59.02711452704185,6480.0,1,6,9,3,5,76.0,25.27029839646745,4500.0,-0.5522576339475623,-16.363956523349053,0
32,1,1717.9474011828156,13282.052598817185,7,1,5,0,75,12.857142857142858,58.23256153026524,6840.0,1,8,12,3,7,94.0,24.09733596107783,4140.0,-0.592060863148631,-16.956017386497685,0
33,1,1164.7640822222515,13835.235917777749,7,1,4,0,75,9.714285714285714,55.2620228148583,3600.0,1,6,13,2,9,100.0,24.94525692726593,3420.0,-0.6278367116585144,-17.5838540981562,0
34,1,711.5244861214928,14288.475513878508,7,1,3,0,75,8.285714285714286,53.85112052528984,4500.0,1,4,16,1,17,94.0,25.801233881313877,4500.0,-0.6349551989927424,-18.21880929714894,0
35,1,365.37885214070866,14634.621147859292,7,1,4,0,74,6.857142857142857,53.850899629158334,3060.0,1,4,16,3,24,94.0,25.42603213898826,4320.0,-0.6496556194884158,-18.868464916637357,0
36,1,131.78792140473433,14868.212078595265,7,0,3,0,73,6.857142857142857,53.70801628721805,2340.0,1,2,16,3,29,94.0,20.85376692536802,3240.0,-0.6804057131851365,-19.548870629822495,0
37,1,14.436789077668655,14985.563210922332,7,0,4,0,71,6.571428571428571,56.09801933017755,2880.0,1,1,14,1,37,90.0,15.885490570319158,1980.0,-0.705132129373758,-20.254002759196254,0
38,1,15.17676885939595,14984.823231140605,7,0,3,0,70,5.714285714285714,53.47769690179778,2520.0,1,5,12,4,44,100.0,18.27853831074107,3060.0,-0.716645592346713,-20.970648351542966,0
39,1,133.99618694089176,14866.003813059107,7,0,3,0,65,5.714285714285714,44.18837364268166,2520.0,1,4,11,3,51,116.0,21.33523171042677,3060.0,-0.7280498830694377,-21.698698234612404,0
40,1,369.02056616846926,14630.979433831531,7,1,3,0,61,6.857142857142857,49.967363777879996,2340.0,1,4,11,2,58,118.0,20.96511433859322,3600.0,-0.7064869305245638,-22.405185165136967,0
41,1,716.5421975116076,14283.457802488392,7,0,3,0,55,8.285714285714286,51.63590686014732,3240.0,1,4,12,5,67,112.0,17.08230386371792,3780.0,-0.7112881981985322,-23.116473363335498,0
42,1,1171.0786323193734,13828.921367680627,7,0,4,0,48,9.428571428571429,52.938632504262,3240.0,1,0,11,3,74,112.0,12.019119094502528,2880.0,-0.7280847705693497,-23.844558133904847,0
43,1,1725.4591726004587,13274.540827399542,7,3,4,0,43,11.428571428571429,55.77606870516723,4140.0,1,2,10,6,87,106.0,9.20499986166402,2520.0,-0.7076443289381846,-24.55220246284303,0
44,2,2370.93799486923,12629.06200513077,6,1,3,0,40,14.333333333333334,55.04403332419947,5220.0,2,3,10,10,89,53.0,10.648898931988114,2880.0,-0.6946578045483389,-25.24686026739137,0
45,2,3097.33212293317,11902.66787706683,5,1,4,0,34,17.2,54.61009147717392,5220.0,3,4,10,12,95,38.0,13.214377844092875,1620.0,-0.6898546529368228,-25.936714920328193,0
