step,action,upstream_demand,downstream_demand,upstream_l,upstream_inflow,upstream_n_onramp1,upstream_n_onramp2,upstream_n_queued,upstream_k,upstream_v,upstream_q,downstream_l,downstream_inflow,downstream_n_onramp1,downstream_n_onramp2,downstream_n_queued,downstream_k,downstream_v,downstream_q,reward,total_reward,episode
1,1,8440.155118516728,6559.844881483272,5,9,2,0,0,2.8,92.20652049963739,1620.0,3,10,1,0,0,6.0,92.37287320115101,1800.0,-0.07699906105761187,-0.07699906105761187,0
2,2,9365.478492197151,5634.521507802849,4,11,1,1,0,9.0,91.49934771069158,2520.0,4,7,0,0,0,8.5,90.98560870690865,2700.0,-0.08750182662574417,-0.16450088768335602,0
3,1,10261.372359566392,4738.627640433608,5,9,0,2,1,10.8,88.82337772243773,4500.0,3,5,1,0,0,13.333333333333334,92.26874959203926,3240.0,-0.09710506588370137,-0.2616059535670574,0
4,1,11113.703234586324,3886.2967654136755,6,12,0,1,0,13.666666666666666,89.153683762316,7200.0,2,2,0,0,0,17.0,86.3851114072163,2880.0,-0.1165779434176494,-0.3781838969847068,0
5,1,11909.024874391896,3090.9751256081036,7,14,1,0,0,14.0,89.6449967274246,8640.0,1,7,0,2,1,28.0,71.93177881324699,3420.0,-0.1429127392017041,-0.5210966361864109,0
6,2,12634.790405183177,2365.2095948168226,6,12,2,0,0,17.666666666666668,89.92872291818517,9720.0,2,1,0,0,0,14.0,70.68663080313858,2340.0,-0.14092012747645455,-0.6620167636628654,0
7,1,13279.550259807183,1720.4497401928165,7,9,0,0,0,14.857142857142858,90.76919470342088,9180.0,1,2,0,0,0,20.0,74.11595733855295,2340.0,-0.11916811323170734,-0.7811848768945728,0
8,1,13833.132804396133,1166.867195603867,7,12,0,2,0,14.857142857142858,91.43351903619306,9540.0,1,0,0,0,0,14.0,77.3244154240174,1440.0,-0.102404424093193,-0.8835893009877658,0
9,1,14286.804804523636,713.1951954763645,7,14,0,0,0,16.0,90.76867695038234,10260.0,1,0,0,0,0,10.0,82.8310449431244,360.0,-0.0988194862398305,-0.9824087872275963,0
10,1,14633.409199389042,366.59080061095847,7,13,0,0,1,18.0,91.48568209841379,11520.0,1,1,0,0,0,10.0,84.54909586868794,1260.0,-0.09024361006713107,-1.0726523972947273,0
11,1,14867.478010525252,132.5219894747479,7,13,0,1,0,17.142857142857142,89.5551846029488,11160.0,1,2,0,1,0,8.0,86.15302048644487,1260.0,-0.10657450654332706,-1.1792269038380543,0
12,1,14985.318603799307,14.681396200692689,7,16,2,0,0,19.714285714285715,90.01904419820926,12780.0,1,0,0,0,0,6.0,87.60286475391388,540.0,-0.1008162994530305,-1.280043203291085,0
13,1,14985.071943849516,14.928056150483826,7,17,0,0,0,21.142857142857142,89.18521446054481,12420.0,1,0,0,0,0,4.0,92.24074869479635,360.0,-0.10734376743816981,-1.3873869707292548,0
14,1,14866.74192194591,133.25807805409022,7,13,0,1,1,20.571428571428573,89.61378539588087,12780.0,1,0,0,0,0,2.0,95.55751623586899,180.0,-0.10304793633708328,-1.490434907066338,0
15,1,14632.195294602152,367.804705397848,7,12,0,0,0,20.857142857142858,89.85482768604626,13320.0,1,0,0,0,0,2.0,97.43561779029578,180.0,-0.10042729204436852,-1.5908621991107066,0
16,1,14285.132233907363,714.8677660926369,7,12,1,0,0,20.0,90.68238914377456,13140.0,1,0,0,0,0,0.0,100.0,180.0,-0.09317610856225443,-1.684038307672961,0
17,1,13831.027954171343,1168.9720458286574,7,12,0,0,0,18.857142857142858,90.845890740466,12960.0,1,1,1,0,0,0.0,100.0,180.0,-0.09154109259533996,-1.775579400268301,0
18,1,13277.046335772406,1722.9536642275943,7,16,0,1,0,18.571428571428573,90.48572684953842,12600.0,1,2,1,0,0,4.0,84.16385287083622,360.0,-0.09702985806542244,-1.8726092583337235,0
19,1,12631.92690886496,2368.07309113504,7,19,1,0,0,20.571428571428573,90.42032193366045,13860.0,1,2,1,0,0,8.0,88.67964677729171,720.0,-0.09671292548253689,-1.9693221838162605,0
20,2,11905.846979874697,3094.1530201253026,7,15,0,1,1,21.428571428571427,87.41560860226986,12960.0,1,4,1,0,0,12.0,85.10420024693832,1080.0,-0.12755606831458408,-2.0968782521308444,0
21,2,11110.261075853006,3889.7389241469937,7,12,0,0,0,20.0,85.23059895488346,12060.0,1,3,0,0,0,20.0,85.10997116385069,2160.0,-0.14784479518995639,-2.2447230473208006,0
22,2,10257.720239592083,4742.279760407917,6,16,1,0,0,25.666666666666668,82.74693475826517,13320.0,2,3,0,0,0,10.0,85.59191381305304,1980.0,-0.169260561549776,-2.4139836088705766,0
23,2,9361.674026273733,5638.325973726267,6,11,1,0,0,25.666666666666668,82.74168806293142,12600.0,2,4,0,0,0,13.0,88.27730088817034,1980.0,-0.16458723417867405,-2.578570843049251,0
24,2,8436.258325322722,6563.741674677278,5,9,0,0,0,27.6,81.10243402341173,10980.0,3,6,1,0,0,12.666666666666666,89.35507583158245,2880.0,-0.1711574558618777,-2.7497282989111285,0
25,2,7496.072354754966,7503.927645245034,4,9,2,1,0,33.0,82.61194128629334,10800.0,4,7,1,0,0,12.5,89.72981732319879,4500.0,-0.15432598264007352,-2.904054281551202,0
26,1,6555.948346124064,8444.051653875937,5,6,1,0,0,22.4,84.64137478729208,10260.0,3,8,3,1,0,20.0,85.81588529543657,5760.0,-0.14948912244750545,-3.0535434039987073,0
27,2,5630.71755348146,9369.28244651854,4,10,1,0,0,25.0,86.28466770766263,9540.0,4,13,2,1,0,19.5,78.17508364217063,6120.0,-0.17268970253620367,-3.226233106534911,0
28,2,4734.9762777576025,10265.023722242397,3,8,2,2,0,24.666666666666668,82.71204935760447,9000.0,5,5,0,2,0,16.0,71.88088808172493,5400.0,-0.22914527928566714,-3.4553783858205778,0
29,2,3882.855597727913,11117.144402272086,2,6,0,3,0,31.0,74.95484338408646,5220.0,6,11,1,0,0,15.333333333333334,70.5132353415531,6840.0,-0.2769858479716723,-3.73236423379225,0
30,1,3087.798440253101,11912.2015597469,3,4,1,0,0,20.666666666666668,67.91735323152962,5400.0,5,12,1,0,0,21.2,71.8341273681953,6660.0,-0.29611348801288456,-4.028477721805134,0
31,2,2362.347506699875,12637.652493300126,2,1,0,0,0,22.0,64.25197826708242,3600.0,6,13,1,0,0,18.333333333333332,74.37890823333231,9720.0,-0.2851450032845337,-4.313622725089668,0
32,2,1717.9474011828156,13282.052598817185,1,2,0,1,0,24.0,56.82797276182861,3060.0,7,14,1,0,0,18.0,77.87979207052904,9360.0,-0.25488499018863037,-4.568507715278298,0
33,1,1164.7640822222515,13835.235917777749,2,2,0,0,0,13.0,65.10790122550455,1260.0,6,15,1,1,0,24.666666666666668,81.41241209190191,10620.0,-0.2102389412951378,-4.7787466565734364,0
34,2,711.5244861214928,14288.475513878508,1,0,0,0,0,10.0,73.39103547640218,1980.0,7,14,0,0,0,22.571428571428573,83.21612217099052,14220.0,-0.17368704417973077,-4.952433700753168,0
35,2,365.37885214070866,14634.621147859292,1,1,0,1,0,10.0,80.23496907565237,1080.0,7,11,0,0,0,22.285714285714285,86.39792275466708,12600.0,-0.13973339515153071,-5.092167095904698,0
36,2,131.78792140473433,14868.212078595265,1,0,0,0,0,10.0,83.87937497968274,180.0,7,15,0,0,0,21.714285714285715,87.82297195636886,12600.0,-0.12420459955772273,-5.216371695462421,0
37,2,14.436789077668655,14985.563210922332,1,0,0,0,0,8.0,87.88671220918533,720.0,7,16,2,0,0,21.142857142857142,89.43624775425245,13500.0,-0.10643215607033042,-5.322803851532751,0
38,2,15.17676885939595,14984.823231140605,1,0,0,0,0,2.0,91.55164985071701,720.0,7,10,1,0,0,19.714285714285715,89.5691351904686,13680.0,-0.10402543171527853,-5.42682928324803,0
39,2,133.99618694089176,14866.003813059107,1,0,0,0,0,0.0,100.0,180.0,7,14,1,1,0,17.714285714285715,89.8998983556759,12600.0,-0.10100101644324098,-5.527830299691271,0
40,2,369.02056616846926,14630.979433831531,1,0,0,0,0,0.0,100.0,0.0,7,17,1,1,0,20.0,89.99721899812761,12780.0,-0.10002781001872392,-5.627858109709995,0
41,2,716.5421975116076,14283.457802488392,1,0,0,0,0,0.0,100.0,0.0,7,9,2,0,0,17.714285714285715,90.57898215060077,12600.0,-0.09421017849399234,-5.722068288203987,0
42,2,1171.0786323193734,13828.921367680627,1,1,0,2,0,0.0,100.0,0.0,7,14,1,0,0,16.857142857142858,90.01103039494693,10800.0,-0.09988969605053072,-5.821957984254518,0
43,2,1725.4591726004587,13274.540827399542,1,4,0,0,0,14.0,83.34590490365422,900.0,7,14,0,2,0,18.571428571428573,90.51527284518988,12240.0,-0.1018174903801497,-5.923775474634668,0
44,1,2370.93799486923,12629.06200513077,2,0,0,0,0,7.0,88.05902829360113,1260.0,6,7,2,0,0,19.333333333333332,88.69031652346419,11700.0,-0.11377668362828772,-6.037552158262955,0
45,2,3097.33212293317,11902.66787706683,1,3,1,0,0,6.0,78.73209170338656,1440.0,7,15,0,1,0,16.857142857142858,86.73091460760638,9900.0,-0.13656125210339737,-6.174113410366353,0
46,1,3893.1820729838723,11106.817927016127,2,6,1,1,0,8.0,85.89500368901854,1260.0,6,8,0,0,0,18.333333333333332,86.22731181193372,10080.0,-0.13814886044944416,-6.312262270815797,0
